epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9159,1.63216,1.93139,1.95245,0.00561,0.41824,0.00397,0.00136,2.94944,105.61,3.94848,0.000554074,0.000554074,0.000554074
2,196.214,1.82653,2.01104,2.1207,0.26602,0.27987,0.19261,0.05708,2.30227,2.78309,2.76218,0.00110971,0.00110971,0.00110971
3,294.056,1.66785,1.83183,1.98241,0.50416,0.54403,0.49494,0.23029,1.92509,2.04178,2.3847,0.00166523,0.00166523,0.00166523
4,391.278,1.61924,1.75837,1.93913,0.57399,0.65249,0.60266,0.33213,1.48875,1.56943,1.99702,0.00166659,0.00166659,0.00166659
5,488.497,1.56029,1.67784,1.87247,0.80318,0.63208,0.73078,0.4461,1.35162,1.235,1.84527,0.00166628,0.00166628,0.00166628
6,585.612,1.47031,1.54061,1.80465,0.74454,0.65409,0.7142,0.41921,1.45473,1.31696,1.91948,0.00166587,0.00166587,0.00166587
7,682.743,1.40854,1.45641,1.75013,0.78657,0.66667,0.76898,0.38769,1.75256,1.32501,2.12103,0.00166537,0.00166537,0.00166537
8,779.86,1.37728,1.40055,1.74355,0.78768,0.67296,0.76031,0.42336,1.59052,1.254,2.02155,0.00166478,0.00166478,0.00166478
9,877.026,1.34433,1.34507,1.71303,0.81357,0.75157,0.84218,0.53304,1.31374,1.02666,1.77858,0.00166411,0.00166411,0.00166411
10,974.428,1.36054,1.34871,1.71659,0.81387,0.75628,0.82967,0.52193,1.3539,1.04654,1.80045,0.00166334,0.00166334,0.00166334
11,1071.79,1.30585,1.31682,1.66846,0.78783,0.71227,0.80491,0.51576,1.35996,1.08548,1.77221,0.00166248,0.00166248,0.00166248
12,1169.31,1.30438,1.29488,1.686,0.77208,0.77764,0.83853,0.54598,1.25473,1.02004,1.7287,0.00166153,0.00166153,0.00166153
13,1266.96,1.25335,1.25271,1.63001,0.81939,0.75157,0.82384,0.53151,1.34775,1.00781,1.76229,0.00166049,0.00166049,0.00166049
14,1364.35,1.26459,1.23937,1.6369,0.86779,0.77673,0.84364,0.57321,1.22136,0.91257,1.6548,0.00165937,0.00165937,0.00165937
15,1461.85,1.24077,1.21576,1.62569,0.85257,0.76415,0.83675,0.56404,1.20056,0.95294,1.69207,0.00165815,0.00165815,0.00165815
16,1559.2,1.20201,1.17201,1.60428,0.8946,0.69398,0.84215,0.58533,1.18933,0.96136,1.65793,0.00165684,0.00165684,0.00165684
17,1656.67,1.20719,1.15321,1.58585,0.83615,0.76101,0.84666,0.56454,1.26579,0.93319,1.7553,0.00165544,0.00165544,0.00165544
18,1754.04,1.20103,1.15263,1.57456,0.85842,0.77673,0.86197,0.59567,1.1475,0.901,1.61932,0.00165396,0.00165396,0.00165396
19,1851.53,1.19512,1.13639,1.56631,0.8545,0.80503,0.8682,0.5894,1.191,0.84625,1.63789,0.00165238,0.00165238,0.00165238
20,1948.87,1.16828,1.11143,1.55649,0.90782,0.77987,0.8705,0.57708,1.21075,0.89369,1.66826,0.00165072,0.00165072,0.00165072
21,2046.21,1.15625,1.07688,1.53721,0.86466,0.82704,0.87946,0.59165,1.20971,0.84037,1.68003,0.00164897,0.00164897,0.00164897
22,2143.54,1.13649,1.06788,1.52322,0.87903,0.80189,0.86497,0.60089,1.16605,0.90319,1.64532,0.00164713,0.00164713,0.00164713
23,2241.07,1.15338,1.05042,1.54325,0.88239,0.80218,0.86362,0.60136,1.14915,0.87136,1.60029,0.0016452,0.0016452,0.0016452
24,2338.62,1.13474,1.07232,1.52242,0.88935,0.77987,0.86121,0.57414,1.21962,0.89261,1.67179,0.00164318,0.00164318,0.00164318
25,2436.08,1.1091,1.01177,1.50235,0.86508,0.82075,0.87387,0.6301,1.02347,0.80934,1.50378,0.00164108,0.00164108,0.00164108
26,2533.66,1.11905,1.02531,1.50467,0.9028,0.81781,0.89127,0.63281,1.07418,0.7743,1.56584,0.00163888,0.00163888,0.00163888
27,2631.22,1.08822,0.98378,1.48404,0.87733,0.80967,0.87475,0.602,1.07767,0.84414,1.54815,0.0016366,0.0016366,0.0016366
28,2728.68,1.10592,1.00792,1.51518,0.87604,0.82075,0.86864,0.60662,1.11779,0.82168,1.58138,0.00163424,0.00163424,0.00163424
29,2826.17,1.09081,0.98395,1.48797,0.93707,0.76415,0.88811,0.6271,1.1499,0.79463,1.58713,0.00163178,0.00163178,0.00163178
30,2923.63,1.08482,0.99156,1.47726,0.92251,0.74528,0.86606,0.63056,1.01904,0.80805,1.50127,0.00162924,0.00162924,0.00162924
31,3021.11,1.08024,0.97728,1.48059,0.87931,0.87736,0.90377,0.64519,1.05957,0.73263,1.52346,0.00162661,0.00162661,0.00162661
32,3118.71,1.06779,0.97886,1.46267,0.81211,0.81447,0.85042,0.6014,1.06804,0.83586,1.51448,0.0016239,0.0016239,0.0016239
33,3216.18,1.0788,0.9525,1.48741,0.9087,0.8522,0.90598,0.60902,1.21443,0.77919,1.61661,0.0016211,0.0016211,0.0016211
34,3313.6,1.06257,0.91946,1.46687,0.87574,0.8239,0.86993,0.62544,1.04812,0.78641,1.50608,0.00161822,0.00161822,0.00161822
35,3411.1,1.09045,0.9429,1.48477,0.91806,0.8239,0.90107,0.65451,1.03578,0.72081,1.4729,0.00161525,0.00161525,0.00161525
36,3508.68,1.03816,0.91941,1.45145,0.88869,0.80189,0.87598,0.63436,1.0905,0.79861,1.56994,0.00161219,0.00161219,0.00161219
37,3606.19,1.04327,0.93041,1.45924,0.92049,0.81447,0.88875,0.64542,1.03502,0.73388,1.49694,0.00160905,0.00160905,0.00160905
38,3703.7,1.04083,0.91831,1.45921,0.8805,0.83414,0.89741,0.64134,1.10318,0.75121,1.52687,0.00160583,0.00160583,0.00160583
39,3801.21,1.02353,0.89721,1.43748,0.88008,0.81447,0.88614,0.64876,1.01873,0.71471,1.50404,0.00160252,0.00160252,0.00160252
40,3898.73,1.03638,0.90316,1.4473,0.85766,0.83373,0.89757,0.64523,1.05863,0.74334,1.50849,0.00159913,0.00159913,0.00159913
41,3996.22,1.02769,0.90467,1.43043,0.88106,0.83861,0.9043,0.65131,1.04723,0.69548,1.51374,0.00159566,0.00159566,0.00159566
42,4093.76,1.00128,0.85927,1.40486,0.90668,0.79439,0.89011,0.65285,1.05267,0.74805,1.50323,0.0015921,0.0015921,0.0015921
